dt,coord_lon,coord_lat,weather_0_id,weather_0_main,weather_0_description,weather_0_icon,base,main_temp,main_feels_like,main_temp_min,main_temp_max,main_pressure,main_humidity,main_sea_level,main_grnd_level,visibility,wind_speed,wind_deg,wind_gust,clouds_all,sys_type,sys_id,sys_country,sys_sunrise,sys_sunset,timezone,id,name,cod
2025-02-08 19:21:32,-80.7333,-0.95,500,Rain,light rain,10n,stations,26.88,29.3,26.88,26.88,1010,78,1010,1006,10000,3.09,250,N/A,75,1,8552,EC,2025-02-08 06:32:44,2025-02-08 18:41:37,-18000,3650767,Tarqui,200
2025-02-08 19:21:32,-80.7333,-0.95,500,Rain,light rain,10n,stations,26.88,29.3,26.88,26.88,1010,78,1010,1006,10000,3.09,250,N/A,75,1,8552,EC,2025-02-08 06:32:44,2025-02-08 18:41:37,-18000,3650767,Tarqui,200
2025-02-08 19:32:17,-80.7333,-0.95,803,Clouds,broken clouds,04n,stations,26.88,29.3,26.88,26.88,1011,78,1011,1007,10000,3.09,250,N/A,75,1,8552,EC,2025-02-08 06:32:44,2025-02-08 18:41:37,-18000,3650767,Tarqui,200
2025-02-08 19:40:03,-80.7333,-0.95,803,Clouds,broken clouds,04n,stations,26.88,29.3,26.88,26.88,1011,78,1011,1007,10000,3.09,250,N/A,75,1,8552,EC,2025-02-08 06:32:44,2025-02-08 18:41:37,-18000,3650767,Tarqui,200
2025-02-08 19:32:17,-80.7333,-0.95,803,Clouds,broken clouds,04n,stations,26.88,29.3,26.88,26.88,1011,78,1011,1007,10000,3.09,250,N/A,75,1,8552,EC,2025-02-08 06:32:44,2025-02-08 18:41:37,-18000,3650767,Tarqui,200
2025-02-08 19:40:03,-80.7333,-0.95,803,Clouds,broken clouds,04n,stations,26.88,29.3,26.88,26.88,1011,78,1011,1007,10000,3.09,250,N/A,75,1,8552,EC,2025-02-08 06:32:44,2025-02-08 18:41:37,-18000,3650767,Tarqui,200
2025-02-08 19:50:06,-80.7333,-0.95,803,Clouds,broken clouds,04n,stations,26.88,29.3,26.88,26.88,1011,78,1011,1007,10000,3.09,250,N/A,75,1,8552,EC,2025-02-08 06:32:44,2025-02-08 18:41:37,-18000,3650767,Tarqui,200
2025-02-08 20:00:03,-80.7333,-0.95,803,Clouds,broken clouds,04n,stations,26.88,29.3,26.88,26.88,1011,78,1011,1007,10000,3.09,250,N/A,75,1,8552,EC,2025-02-08 06:32:44,2025-02-08 18:41:37,-18000,3650767,Tarqui,200
2025-02-08 20:00:03,-80.7333,-0.95,803,Clouds,broken clouds,04n,stations,26.88,29.3,26.88,26.88,1011,78,1011,1007,10000,3.09,250,N/A,75,1,8552,EC,2025-02-08 06:32:44,2025-02-08 18:41:37,-18000,3650767,Tarqui,200
2025-02-08 20:10:02,-80.7333,-0.95,803,Clouds,broken clouds,04n,stations,25.88,26.69,25.88,25.88,1011,83,1011,1007,10000,2.06,240,N/A,75,1,8552,EC,2025-02-08 06:32:44,2025-02-08 18:41:37,-18000,3650767,Tarqui,200
